artist,title,downloads,link,scrape_time
J Cole,Any Given Sunday EP #1,325163,/J-Cole-Any-Given-Sunday-EP-1-mixtape.257420.html,16-09-18
Lil Snupe,R.N.I.C.,324985,/Lil-Snupe-RNIC-mixtape.476884.html,16-09-18
Kid Ink,Daydreamer,318612,/Kid-Ink-Daydreamer-mixtape.240170.html,16-09-18
Waka Flocka Flame,Duflocka Rant 2,315702,/Waka-Flocka-Flame-Duflocka-Rant-2-mixtape.451580.html,16-09-18
Flatbush ZOMBiES,BetterOffDEAD,314417,/Flatbush-ZOMBiES-BetterOffDEAD-mixtape.531035.html,16-09-18
Trinidad James,Don't Be S.A.F.E,312216,/Trinidad-James-Dont-Be-SAFE-mixtape.407318.html,16-09-18
Lil Bibby,Free Crack 3,311484,/Lil-Bibby-Free-Crack-3-mixtape.744569.html,16-09-18
Nipsey Hussle,The Marathon,310864,/Nipsey-Hussle-The-Marathon-mixtape.180744.html,16-09-18
Big K.R.I.T.,King Remembered In Time,308697,/Big-KRIT-King-Remembered-In-Time-mixtape.473106.html,16-09-18
Gucci Mane & Future,Free Bricks 2 (Zone 6 Edition),308025,/Gucci-Mane-Future-Free-Bricks-2-Zone-6-Edition-mixtape.812953.html,16-09-18
Chris Brown,In My Zone (gangsta Grillz),305932,/Chris-Brown-In-My-Zone-gangsta-Grillz-mixtape.98909.html,16-09-18
Mac Miller,"I Love Life, Thank You",305734,/Mac-Miller-I-Love-Life-Thank-You-mixtape.272902.html,16-09-18
2 Chainz,Daniel Son: Necklace Don,302601,/2-Chainz-Daniel-Son-Necklace-Don-mixtape.797675.html,16-09-18
2 Chainz,FreeBase,300753,/2-Chainz-FreeBase-mixtape.608133.html,16-09-18
Gucci Mane,Gucci 2 Time,300744,/Gucci-Mane-Gucci-2-Time-mixtape.188962.html,16-09-18
Mac Miller,The Jukebox: Prelude To Class Clown,299742,/Mac-Miller-The-Jukebox-Prelude-To-Class-Clown-mixtape.48547.html,16-09-18
Future,True Story,297797,/Future-True-Story-mixtape.239349.html,16-09-18
Cassidy,Mayhem Music: AP 3 ,297146,/Cassidy-Mayhem-Music-AP-3-mixtape.370768.html,16-09-18
Ludacris,1.21 Gigawatts: Back To The First Time,296039,/Ludacris-121-Gigawatts-Back-To-The-First-Time-mixtape.273694.html,16-09-18
Tity Boi,Codeine Cowboy (A 2 Chainz Collective),294553,/Tity-Boi-Codeine-Cowboy-A-2-Chainz-Collective-mixtape.202202.html,16-09-18
Gucci Mane & Future,Free Bricks,293609,/Gucci-Mane-Future-Free-Bricks-mixtape.256907.html,16-09-18
Rockie Fresh,Electric Highway,289889,/Rockie-Fresh-Electric-Highway-mixtape.438389.html,16-09-18
Nipsey Hussle,The Marathon Continues,289001,/Nipsey-Hussle-The-Marathon-Continues-mixtape.276393.html,16-09-18
French Montana & Fetty Wap,Coke Zoo,288756,/French-Montana-Fetty-Wap-Coke-Zoo-mixtape.740944.html,16-09-18
Ace Hood,The Statement 2,288285,/Ace-Hood-The-Statement-2-mixtape.288517.html,16-09-18
Machine Gun Kelly ,Black Flag,287944,/Machine-Gun-Kelly-Black-Flag-mixtape.503453.html,16-09-18
Rick Ross,The Albert Anastasia EP,287835,/Rick-Ross-The-Albert-Anastasia-EP-mixtape.123147.html,16-09-18
Lloyd Banks,The Cold Corner 2,287723,/Lloyd-Banks-The-Cold-Corner-2-mixtape.274456.html,16-09-18
August Alsina,The Product 2,286741,/August-Alsina-The-Product-2-mixtape.485614.html,16-09-18
Ludacris,#IDGAF,286040,/Ludacris-IDGAF-mixtape.490047.html,16-09-18
Dizzy Wright,Free SmokeOut Conversations Mixtape,285719,/Dizzy-Wright-Free-SmokeOut-Conversations-Mixtape.361623.html,16-09-18
YG,Just Re'd Up,285047,/YG-Just-Red-Up-mixtape.226432.html,16-09-18
