artist,title,downloads,link,scrape_time
Ludacris,1.21 Gigawatts: Back To The First Time,296038,/Ludacris-121-Gigawatts-Back-To-The-First-Time-mixtape.273694.html,15-09-18
Tity Boi,Codeine Cowboy (A 2 Chainz Collective),294551,/Tity-Boi-Codeine-Cowboy-A-2-Chainz-Collective-mixtape.202202.html,15-09-18
Gucci Mane & Future,Free Bricks,293593,/Gucci-Mane-Future-Free-Bricks-mixtape.256907.html,15-09-18
Rockie Fresh,Electric Highway,289888,/Rockie-Fresh-Electric-Highway-mixtape.438389.html,15-09-18
Nipsey Hussle,The Marathon Continues,288997,/Nipsey-Hussle-The-Marathon-Continues-mixtape.276393.html,15-09-18
French Montana & Fetty Wap,Coke Zoo,288749,/French-Montana-Fetty-Wap-Coke-Zoo-mixtape.740944.html,15-09-18
Ace Hood,The Statement 2,288285,/Ace-Hood-The-Statement-2-mixtape.288517.html,15-09-18
Machine Gun Kelly ,Black Flag,287931,/Machine-Gun-Kelly-Black-Flag-mixtape.503453.html,15-09-18
Rick Ross,The Albert Anastasia EP,287835,/Rick-Ross-The-Albert-Anastasia-EP-mixtape.123147.html,15-09-18
Lloyd Banks,The Cold Corner 2,287712,/Lloyd-Banks-The-Cold-Corner-2-mixtape.274456.html,15-09-18
August Alsina,The Product 2,286737,/August-Alsina-The-Product-2-mixtape.485614.html,15-09-18
Ludacris,#IDGAF,286039,/Ludacris-IDGAF-mixtape.490047.html,15-09-18
Dizzy Wright,Free SmokeOut Conversations Mixtape,285719,/Dizzy-Wright-Free-SmokeOut-Conversations-Mixtape.361623.html,15-09-18
YG,Just Re'd Up,285042,/YG-Just-Red-Up-mixtape.226432.html,15-09-18
